,key,val_accuracy,train_accuracy,depth,optimizer,lay_%dropout,lay_%gru,lay_%lstm,lay_%bgru,lay_%blstm,lay_%dense,lay_%conv1d,lay_%cl2d,lay_%pool,window_size,overlap%,batch_size,avg_num_nodes
49,BidirectionalGRU,0.945652186870575,0.9909255504608154,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,200,0,64,225
50,BidirectionalGRU,0.945652186870575,0.9836660623550415,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,200,0,64,225
51,BidirectionalGRU,0.9444444179534912,0.9800796508789062,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,400,0,16,210
52,BidirectionalGRU,0.9444444179534912,0.993027925491333,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,400,0,16,300
53,BidirectionalGRU,0.9444444179534912,0.9780876636505127,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,400,0,16,275
54,BidirectionalGRU,0.9431818127632141,0.9492753744125366,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,0,256,275
55,BidirectionalGRU,0.9431818127632141,0.9406703114509583,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,0,256,275
56,BidirectionalGRU,0.9347826242446899,0.9872958660125732,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,200,0,64,366
57,BidirectionalGRU,0.9318181872367859,0.9754601120948792,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,400,0,64,300
58,BidirectionalGRU,0.9318181872367859,0.9734151363372803,4,adam,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,400,0,64,275
59,BidirectionalGRU,0.9318181872367859,0.9335378408432007,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,400,0,64,275
60,BidirectionalGRU,0.9318181872367859,0.9345602989196777,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,400,0,64,275
61,BidirectionalGRU,0.9318181872367859,0.9384057521820068,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,0,256,275
62,BidirectionalGRU,0.9309210777282715,0.9560656547546387,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,50,0,256,275
63,BidirectionalGRU,0.9144736528396606,0.9652056694030762,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,50,0,256,216
64,BidirectionalGRU,0.9144736528396606,0.9674906730651855,4,adam,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,50,0,256,275
65,BidirectionalGRU,0.9130434989929199,0.9637023210525513,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,0,64,275
66,BidirectionalGRU,0.9111841917037964,0.9642708897590637,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,50,0,256,275
67,BidirectionalGRU,0.9090909361839294,0.9611451625823975,3,RMSprop,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,400,0,64,500
68,BidirectionalGRU,0.9090909361839294,0.9856851100921631,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,400,0,64,336
69,BidirectionalGRU,0.9090908765792847,0.9631901979446411,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,400,0,64,262
70,BidirectionalGRU,0.9090908765792847,0.9938650131225586,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,400,0,64,262
71,BidirectionalGRU,0.9090908765792847,0.9519427418708801,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,400,0,64,275
72,BidirectionalGRU,0.9090908765792847,0.9867075681686401,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,400,0,64,210
73,BidirectionalGRU,0.9090908765792847,0.9642126560211182,3,adam,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,400,0,64,500
74,BidirectionalGRU,0.9078947305679321,0.9798504114151001,3,RMSprop,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,50,0,256,500
75,BidirectionalGRU,0.9078947305679321,0.9839011430740356,3,adam,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,50,0,256,500
76,BidirectionalGRU,0.9078947305679321,0.9668674468994141,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,50,0,256,275
77,BidirectionalGRU,0.9021738767623901,0.9854809045791626,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,200,0,64,280
78,BidirectionalGRU,0.9021738767623901,0.9691469669342041,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,0,64,275
